syllable,word,vowel_IPA,preceding_sound,following_sound,word_status,syllable_status,stressed,syllable_position,n_syllables,intrusive_v,p1.notes,p1.additional notes,p2.notes 
bâ,qulbâ,ɑ,b,0,plain,plain,y,final ,2,,,,
rab,rabtâ,æ,r,b,plain,plain,n,initial ,2,,,,
tâ,rabtâ,ɑ,r,0,plain,plain,y,final ,2,,,,
rang,rang,æ,r,n,plain,,y,initial ,1,,,bad recording ,
re:,re:šâ,e,r,š,plain,plain,n,initial ,2,,,long vowel?,
šâ,re:šâ,ɑ,š,0,plain,plain,y,final ,2,,,,
RE:,RE:ŠÂ,e,R,Š,emphatic,emphatic,n,initial ,2,,,long vowel?,
ŠÂ,RE:ŠÂ,ɑ,Š,0,emphatic,emphatic,y,final ,2,,,,
re,rešutâ,e,r,š,plain,plain,n,initial,3,,,,
šu,rešutâ,ʉ,š,t,plain,plain,n,medial ,3,,,,
tâ,rešutâ,ɑ,t,0,plain,plain,y,final ,3,,,,
ri,riHÂN,i,r,H,mixed,plain,n,initial ,2,,,long vowel?,
HÂN,riHÂN,ɑ,H,N,mixed,mixed,y,final ,2,,,,
RUB,RUB,ʉ,R,B,emphatic,emphatic,y,initial ,1,,,,
RUH,RUH,ʉ,R,H,emphatic,emphatic,y,initial ,1,,,,
RU:,RU:ZI,ʉ,R,Z,emphatic,emphatic,n,initial ,2,,,long vowel?,
ZI,RU:ZI,i,Z,0,emphatic,emphatic,y,final ,2,,,,
SÂ,SÂLOE,ɑ,S,L,emphatic,emphatic,n,initial ,3,,,,
LO,SÂLOE,ø,L,E,emphatic,emphatic,n,medial ,3,,,,
E,SÂLOE,e,O,0,emphatic,emphatic,y,final ,3,,,,
ša,šaroe,æ,š,r,plain,plain,n,initial ,3,,,,
o,šaroe,ø,r,e,plain,plain,n,medial ,3,,,,
e,šaroe,e,o,0,plain,plain,n,final ,3,,,,
ša,šaxina,æ,š,x,plain,plain,n,initial ,3,,,,
xi,šaxina,i,x,n,plain,plain,y,medial ,3,,,,
nâ,šaxina,ɑ,n,0,plain,plain,,final ,3,,,,
SBO,SBOTÂ,ø,B,T,emphatic,emphatic,n,initial ,2,y,,long vowel?,
TÂ,SBOTÂ,ɑ,T,0,emphatic,emphatic,y,final ,2,,,,
sef,sefrâ,e,s,f,plain,plain,n,initial ,2,,,,
râ,sefrâ,ɑ,r,0,plain,plain,y,final ,2,,,,
SLO,SLOLÂ,ø,L,L,emphatic,emphatic,n,initial ,2,y,,,
LÂ,SLOLÂ,ɑ,L,0,emphatic,emphatic,y,final ,2,,,,
ŠEM,ŠEMRÂ,e,Š,M,emphatic,emphatic,n,initial ,2,,,,
RÂ,ŠEMRÂ,ɑ,R,0,emphatic,emphatic,y,final ,2,,,,
šre,šrele,e,r,l,plain,plain,n,initial ,2,y,,,
le,šrele,e,l,0,plain,plain,y,final ,2,,,,
šre,šrele,e,r,l,plain,plain,n,initial ,2,y,,,
li,šreli,i,l,0,plain,plain,y,final ,2,,,,
šri,šrilâ,i,r,l,plain,plain,n,initial ,2,y,,,
lâ,šrilâ,ɑ,l,0,plain,plain,y,final ,2,,,,
SES,SESQE,e,s,s,emphatic,emphatic,n,initial ,2,,,,
QE,SESQE,e,q,0,emphatic,emphatic,y,final ,2,,,,
SĖT,SĖTRÂ,ė,s,t,emphatic,emphatic,n,initial ,2,,,,
RÂ,SĖTRÂ,ɑ,r,0,emphatic,emphatic,y,final ,2,,,,
ŠWA,ŠWAWÂ,æ,W,W,emphatic,emphatic,n,initial ,2,y,,,
WÂ,ŠWAWÂ,ɑ,W,0,emphatic,emphatic,y,final ,2,,,"the first /w/ sounds like a /w/ or a tap, while the second sounds like a /v/ ",
ŠWA,ŠWAWE,æ,W,W,emphatic,emphatic,n,initial ,2,y,,,
WE,ŠWAWE,e,W,0,emphatic,emphatic,y,final ,2,,,"first /w/ sounds like a /w/, second sounds like a tap ",
swe,swele,e,w,l,plain,plain,n,initial ,2,y,,sounds like a /v/ ,
le,swele ,e,l,0,plain,plain,y,final ,2,,,,
SWE,SWELE,e,W,L,emphatic,emphatic,n,initial ,2,y,,sounds like a /w/,
LE,SWELE,e,L,0,emphatic,emphatic,y,final ,2,,,,
si,siyami ,i,s,y,plain,plain,n,initial ,3,,,,
ya,siyami ,æ,y,m,plain,plain,n,medial ,3,,,,
mi ,siyami ,i,m,0,plain,plain,y,final ,3,,,/i/ sounds like [ɪ],
sim,simbultâ,i,s,m,plain,plain,n,initial ,3,,,,
bul,simbultâ,ʉ,b,l,plain,plain,n,medial ,3,,,,
tâ,simbultâ,ɑ,t,0,plain,plain,y,final ,3,,,,
šiš,siškâ,i,š,š,plain,plain,n,initial ,2,,,,
kâ,siškâ,ɑ,k,0,plain,plain,y,final ,2,,,,
SI,SIWÂ,i,s,w,emphatic,emphatic,n,initial ,2,,,"i sounds long, I think open penultimate vowels in 2 syllable words become long ",
WÂ,SIWÂ,ɑ,w,0,emphatic,emphatic,y,final ,2,,,,
si,siWÂN,i,s,W,mixed,plain,n,initial ,2,,,/w/ sounds like v or tap ,
WÂN,siWÂN,ɑ,W,N,mixed,mixed,y,final ,2,,,,
ši,šiyâ,i,š,y,plain,plain,n,initial ,2,,,sounds like she said this as a question ,
yâ,šiyâ,ɑ,y,â,plain,plain,y,final ,2,,,,
SOL ,SOL ,ø,S,L,emphatic,emphatic,y,initial ,1,,,,
SO,SOMÂ,ø,S,M,emphatic,emphatic,n,initial ,2,,,vowel sounds long ,
MÂ,SOMÂ,ɑ,M,0,emphatic,emphatic,y,final ,2,,,,
so,sonâ,ø,s,n,plain,plain,n,initial ,2,,,vowel sounds long ,
nâ,sonâ,ɑ,n,0,plain,plain,y,final ,2,,,,
SYOT ,SYOT ,ø,Y,T,emphatic,emphatic,y,initial ,1,,,epenthetic vowel?,
TÂ,TÂLANÂ,ɑ,T,L,emphatic,emphatic,n,initial ,3,,,,
LÂ,TÂLANÂ,æ,L,N,emphatic,emphatic,n,medial ,3,,,,
NÂ,TÂLANÂ,ɑ,N,0,emphatic,emphatic,y,final ,3,,,,
ta,tavilâ,æ,t,v,plain,plain,n,initial ,3,,,,
vi,tavilâ,i,v,l,plain,plain,n,medial ,3,,,,
lâ,tavilâ,ɑ,l,0,plain,plain,y,final ,3,,,/w/ sounds like a /b/ ,
ta,tawule ,æ,t,w,plain,plain,n,initial ,3,,,,
wu,tawule ,ʉ,w,l,plain,plain,n,medial ,3,,,,
le,tawule ,e,l,0,plain,plain,y,final ,3,,,,
taxt,taxt ,æ,t,x,plain ,plain,y,initial ,1,,,,
TAY,TAYFÂ,ɑi,T,F,emphatic,emphatic,n,initial ,2,,,,
FÂ,TAYFÂ,ɑ,F,0,emphatic,emphatic,y,final ,2,,,,
tle,tlele,e,l,l,plain,plain,n,initial ,2,,,long vowel? ,
le,tlele,e,l,0,plain,plain,y,final ,2,,,,
TĖM,TĖM:Â,ė,T,M,emphatic,emphatic,n,initial ,2,,,,
MÂ,TĖM:Â,ɑ,M,0,emphatic,emphatic,y,final ,2,,,,
te,tenâ,e,t,n ,plain,plain,n,initial ,2,,,long vowel? ,
nâ,tenâ,ɑ,n,0,plain,plain,y,final ,2,,,,
TE,TENÂ,e,T,N,emphatic,emphatic,n,initial ,2,,,long vowel ,
NÂ,TENÂ,ɑ,N,0,emphatic,emphatic,y,final ,2,,,,
TRE,TRELE,e,R,L,emphatic,emphatic,n,initial ,2,y,,,
LE,TRELE,e,L,0,emphatic,emphatic,y,final ,2,,,,
TI,TINÂ,i,T,N,emphatic,emphatic,n,initial ,2,,,LONG VOWEL ,
NÂ,TINÂ,ɑ,N,0,emphatic,emphatic,y,final ,2,,,,
TOR,TOR,ø,T,R,emphatic,emphatic,y,initial ,1,,,,
to,torâ,ø,t,r,plain,plain,n,initial ,2,,,,
râ,torâ,ɑ,r,0,plain,plain,y,final ,2,,,,
TO,TORE,ø,T,R,emphatic,emphatic,n,initial ,2,,,,
RE,TORE,e,R,0,emphatic,emphatic,y,final ,2,,,,
TO,TORE,ø,T,R,emphatic,emphatic,n,initial ,2,,,,
REV,TOREV,e,R,V,emphatic,emphatic,y,final ,2,,,,
to,torev,ø,t,r,plain,plain,n,initial ,2,,,,
rev,torev,e,r,v,plain,plain,y,final ,2,,,,
to,tori ,ø,t,r,plain ,plain ,n,initial ,2,,,,
ri ,tori ,i ,r,0,plain ,plain ,y,final ,2,,,,
TO,TOTÂ,ø,T,T,emphatic,emphatic,n,initial ,2,,,,
TÂ,TOTÂ,ɑ,T,0,emphatic,emphatic,y,final ,2,,,,
tu,tumâ,ʉ,t,m,plain,plain,n,initial ,2,,,,
mâ,tumâ,ɑ,m,0,plain,plain,y,final ,2,,,,
tu,tumâ,ʉ,t,n,plain,plain,n,initial ,2,,,,
nâ,tunâ,ɑ,n,0,plain,plain,y,final ,2,,,,
tuš,tuš,ʉ,t,š,plain,plain,y,initial ,1,,,,
u,ujâ,ʉ,0,j,plain,plain,n,initial ,2,,,,
jâ,ujâ,ɑ,j,0,plain,plain,y,final ,2,,,,
u,une,ʉ,0,n,plain,plain,n,initial ,2,,,,
ne,une,e,n,0,plain,plain,y,final ,2,,,,
ur,urmėžnâ,ʉ,0,r,plain,plain,n,initial,3,,,,
mėž,urmėžnâ,ė,m,ž,plain,plain,n,medial ,3,,,,
nâ,urmėžnâ,ɑ,n,0,plain,plain,y,final ,3,,,,
uš,ušwâ,ʉ,0,š,plain,plain,n,initial ,2,,w sounds like v or tap ,,
wâ,ušwâ,ɑ,w,0,plain,plain,y,final ,2,,,,
we,weli ,e,w,l,plain,plain,n,initial ,2,,,,
li ,weli ,i,l,0,plain,plain,y,final ,2,,,,
xa,xalâ,æ,x,l,plain,plain,n,initial ,2,,,,
lâ,xalâ,ɑ,l,0,plain,plain,y,final ,2,,,,
XA,XALOQE,æ,X,L,emphatic,emphatic,n,initial ,3,,,,
LO,XALOQE,ø,L,Q,emphatic,emphatic,n,medial ,3,,,,
QE,XALOQE,e,Q,0,emphatic,emphatic,y,final ,3,,,,
XA,XANÂ,æ,X,N,emphatic,emphatic,n,initial ,2,,,/kx/ or /x/?. /x/ sounds like χ,
NÂ,XANÂ,ɑ,N,0,emphatic,emphatic,y,final ,2,,,,
xa,xarupe,æ,x,r,plain,plain,n,initial ,3,,,,
ru ,xarupe ,ʉ,r,p,plain,plain,n,medial ,3,,,,
pe,xarupe ,e ,p,0,plain,plain,y,final ,3,,,,
xė,xėliqi,ė,x,l,plain,plain,n,initial ,3,,,intrusive vowel? double check transcription in khan ,
li,xėliqi,i,l,q,plain,plain,n,medial ,3,,,,
qi ,xėliqi,i,q,0,plain,plain,y,final ,3,,,,
XĖL,XĖLTÂ,ė,X,L,emphatic,emphatic,n,initial ,2,,,x sounds like χ ,
TÂ,XĖLTÂ,ɑ,T,0,emphatic,emphatic,y,final ,2,,,,
xėl,xėltâ,ė,x,l,plain,plain,n,initial ,2,,,,
tâ,xėltâ,ɑ,t,0,plain,plain,y,final ,2,,,,
XĖL,XĖLTÂ,ė,X,L,emphatic,emphatic,n,initial ,2,,,x sounds like χ,
TÂ,XĖLTÂ,ɑ,T,0,emphatic,emphatic,y,final ,2,,,,
XĖP,XĖPNÂ,ė,X,P,emphatic,emphatic,n,initial ,2,,,,
NÂ,XĖPNÂ,ɑ,N,0,emphatic,emphatic,y,final ,2,,,,
XER,XERXERÂ,e,X,R,emphatic,emphatic,n,initial ,3,,,what vowel?,
XE,XERXERÂ,e,X,R,emphatic,emphatic,n,medial ,3,,,,
RÂ,XERXERÂ,ɑ,R,0,emphatic,emphatic,y,final ,3,,,,
XĖS,XĖSLÂ,ė,X,S,emphatic,emphatic,n,initial ,2,,,,
LÂ,XĖSLÂ,ɑ,L,0,emphatic,emphatic,y,final ,2,,,,
xėt,xėtnâ,ė,x,t,plain,plain,n,initial ,2,,,x sounds like χ,
nâ,xėtnâ,ɑ,n,0,plain,plain,y,final ,2,,,,
XĖT,XĖT:E,ė,X,T,plain,plain,n,initial ,2,,,,
TE,XĖT:E,e,T,0,plain,plain,y,final ,2,,,,
ya,yaqore,æ,y,q,a,plain,n,initial ,3,,,,
qo,yaqore,ø,q,r,plain,plain,n,medial,3,,,,
re,yaqore,e,r,0,plain,plain,y,final ,3,,,,
YÂ,YÂRÂ,ɑ,Y,R,emphatic,emphatic,n,initial ,2,,,,
RÂ,YÂRÂ,ɑ,R,0,emphatic,emphatic,y,final ,2,,,,
yqer,yqer:i,e,q,r,plain,plain,n,initial ,2,y,,,
ri,yqer:i,i,r,0,plain,plain,y,final ,2,,,,
žang,žang,æ,ž,ng,plain,plain,y,imitial ,1,,,ng or engma? ,
zėn,zėnDÂN,ė,z,n,mixed,plain,n,initial ,2,,,syllabic /n/? ,
DÂN,zėnDÂN,ɑ,D,N,mixed,mixed,y,final ,2,,,,
zre,zrele,e,z,r,plain,plain,n,initial ,2,y,,,
le,zrele,e,r,0,plain,plain,y,final ,2,,,,
